question,response_time,source,cache_hit,response_length
Is it normal for a mortgage company to ask you for a good faith deposit up front?,0.015385150909423828,cache,True,2255
which is the biggest oil refining company on the earth?,0.018687009811401367,cache,True,225
"When pretending to be dead during filming, how do actors stay still?",0.006804704666137695,cache,True,2568
"""History is the trick the living play on the dead""?",0.009592056274414062,cache,True,2025
rhe number of foul per person in a basketball game?,0.007565736770629883,cache,True,345
any suggestions or medicines to boost children's growth?,4.66132664680481,llm,False,2396
How can I make the MySpace contact table I made transparent?,0.02994084358215332,cache,True,1914
do you like 360?,0.017514467239379883,cache,True,1034
is there a site where you can search for an email of someone you lost contact?,0.015365123748779297,cache,True,2204
cheking on order 1478125?,0.017247676849365234,cache,True,426
Are you all ready for the DAytona500???,1.6834862232208252,llm,False,209
can a registered nurse make enough money to support herself?,5.002746820449829,llm,False,2364
Why do evangelical Christians consider the inability to reconcile desires and self-loathing a sexual problem?,0.2538285255432129,llm,False,191
What Does These Medical Abbreviations Stand For?,0.8503243923187256,llm,False,191
"If I'm on the ""initiatior"" but my wife is always more than willing to comply is she less attracted now?",0.8533380031585693,llm,False,191
"Is it legal to own a crossbow in North Carolina, or is it just illegal to hunt big game in NC?",0.24169135093688965,llm,False,191
hello I'm looking at forclouser homes and I seen this house for $2791 dl. so I was thinking that's not right,3.841475248336792,llm,False,2091
is it true you can burn your fart?,1.9039151668548584,llm,False,456
Is it ok for the best man to wear pink as a vest and tie color for a tuxedo?,0.2124650478363037,llm,False,191
What jobs will we use algebra in?,0.8546297550201416,llm,False,191
